Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Ngành nghề,Kinh nghiệm,Hình thức,Yêu cầu,Link
,công ty traderviet tìm kiếm tư vấn viên sàn exness 2024,Thỏa thuận,Hà Nội; Hồ Chí Minh; Đà Nẵng; Huế; Nước Ngoài,HẠN CUỐI: 31/3/2024,Bán hàng (Sales); Lao động phổ thông,0,Online,"YÊU CẦU ỨNG VIÊN- Có hiểu biết căn bản về thị trường tài chính- Có kinh nghiệm về thị trường Forex, Crypto là điểm mạnh- Có đam mê kiếm tiền không giới hạn, tự do tài chính",https://ybox.vn/tuyen-dung/toan-quoc-cong-ty-traderviet-tim-kiem-tu-van-vien-san-exness-2024-658297772c3afd779bd07ff2
thực tập sinh marketing full-time 2023,công ty alifaco ,Từ 4 Triệu - Dưới 8 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",0,Toàn thời gian; Thực tập,"YÊU CẦU ỨNG VIÊN   Sinh viên năm cuối các trường Đại học và có thể đi làm Fulltime hoặc ứng viên có mong muốn làm về Marketing-      Có kiến thức cơ bản về marketing, quảng cáo và truyền thông trực tuyến;-      Khả năng giao tiếp tốt, hoà đồng, ham học hỏi, năng động và trung thực;-      Ngoại hình: ưa nhìn, thân thiện và chăm chỉ;-      Có máy tính cá nhân, phương tiện đi lại tự túc",https://ybox.vn/tuyen-dung/hn-cong-ty-alifaco-tuyen-dung-thuc-tap-sinh-marketing-full-time-2023-6582991033f5197782e58c07
chuyên viên marketing full-time 2023,công ty gamegeek ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,DEADLINE: 15/1/2024,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"REQUIREMENTSREQUIREMENTSFluent in English.Graduating with majors related to Marketing, Finance or Business Administration is preferred.Minimum 2-3 years of marketing experience, preferably within the Gaming or B2B Marketing industry.Experience in SEO and email marketing. Experience in automation marketing.Experience or ready to work in  administration and building community.Proficiency in utilizing marketing evaluation tools on digital platforms.Understanding of budget management and ability to flexibly adjust budgets according to strategy.Strong communication skills, teamwork abilities, and project management expertise.",https://ybox.vn/tuyen-dung/hn-cong-ty-gamegeek-tuyen-dung-chuyen-vien-marketing-full-time-2023-65826deaad7d8a6649d5c8c7
thực tập sinh marketing part-time/full-time 2023,công ty máy tính sóc bay ,Từ 1 Triệu - Dưới 4 Triệu VNĐ / Tháng,Hồ Chí Minh,HẠN CUỐI: 20/1/2024,"Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian; Bán thời gian; Online,"YÊU CẦU ỨNG VIÊNMột số kỹ năng cơ bản trong sử dụng máy tính và internet (chúng tôi sẽ đào tạo nếu các bạn còn yếu kỹ năng này)Không yêu cầu kinh nghiệm, nhận sinh viên làm việc bán thời gianTrung thực, kiên trì và nhiệt huyết với công việc",https://ybox.vn/tuyen-dung/online-hcm-cong-ty-may-tinh-soc-bay-tuyen-dung-thuc-tap-sinh-marketing-part-time-full-time-2023-658270a395314967b025f8f5
nhân viên seo website full-time 2023,công ty marketing agency tcc & partners ,Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng; Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 31/12/2023,"Marketing, Truyền Thông, PR",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp Đại học các chuyên ngành marketing, truyền thông, quảng cáo,... hoặc có niềm đam mê với lĩnh vực online marketing.Có khả năng đọc hiểu tài liệu bằng tiếng AnhCó 1 năm kinh nghiệm làm việc trong mảng SEO (Gửi kèm các dự án đã từng triển khai SEO khi apply)Có kinh nghiệm làm việc cùng đội nhóm hoặc quản lý đội nhómSử dụng tốt các công cụ Ahrefs, Keywordtool.io, Spineditor, v.vv.. Sử dụng và đọc dữ liệu tốt Google Analytics và Google Search Console.Thành thạo SEO Wordpress.Sử dụng tốt tin học văn phòng.Chịu được áp lực công việc với số lượng từ khóa và traffic phụ trách.",https://ybox.vn/tuyen-dung/hn-cong-ty-marketing-agency-tcc-and-partners-tuyen-dung-nhan-vien-seo-website-full-time-2023-658270866012a4682bcf5b61
thực tập sinh công nghệ thông tin part-time/full-time 2023,công ty cmt global group ,Không lương,Khác; Huế; Đà Nẵng; Hồ Chí Minh,HẠN CUỐI: 31/1/2024,Lập trình,0,Online; Thực tập; Bán thời gian; Toàn thời gian,"YÊU CẦU ỨNG VIÊNTrình độ: Sinh viên năm 1 đến cử nhân tốt nghiệp đại học/cao đẳng chuyên ngành liên quan đến Công nghệ thông tinCó kiến thức về các hệ điều hành máy chủ (Windows, Unix, Linux), ứng dụng nền tảng và các dịch vụ mạng như Web server, File Server…Có kiến thức cơ bản về ngôn ngữ lập trình, đặc biệt là Python, biết sử dụng hệ điều hành Ubuntu, có kiến thức về toàn bộ quy trình phát triển ứng dụng web (thiết kế, phát triển, triển khai)Ngoại ngữ: biết Tiếng Anh để xử lý công việcCó khả năng làm việc với thái độ làm việc tích cực và chủ động.Chủ động trong công việc, có tinh thần trách nhiệm, có tinh thần làm việc nhóm, có khả năng nghiên cứu công việc mới, thực hiện các yêu cầu từ cấp trên.Trang bị: Có máy tính riêng, Trang bị đầy đủ để làm việc trực tuyến (máy tính, webcam, micro, ...) ",https://ybox.vn/tuyen-dung/online-cong-ty-cmt-global-group-tuyen-dung-thuc-tap-sinh-cong-nghe-thong-tin-part-time-full-time-2023-65824c929c896c5a662e1be0
nhân viên digital marketing full-time 2023,công ty global online branding ,Thỏa thuận,Hồ Chí Minh,HẠN CUỐI: 16/1/2024,"Marketing, Truyền Thông, PR",0,Toàn thời gian,"YÊU CẦU ỨNG VIÊNTốt nghiệp Đại học, Cao đẳng chuyên ngành Marketing.Không yêu cầu kinh nghiệm, sẽ được đào tạo.Có kiến thức tốt về các nền tảng quảng cáo Google, Facebook,...Hiểu về các hình thức chạy quảng cáo Facebook, Google.Kỹ năng phân tích dữ liệu, lập kế hoạch.Kỹ năng quản lí thời gian, sắp xếp công việc.Chủ động, nhiệt tình, có trách nhiệm trong công việc.Cẩn thận, tỉ mỉ từng chi tiết.",https://ybox.vn/tuyen-dung/hcm-cong-ty-global-online-branding-tuyen-dung-nhan-vien-digital-marketing-full-time-2023-65824f6ddde05a5b1d71549a
nhân viên thiết kế nội thất full-time 2023,công ty ziva asia ,Thỏa thuận,Hà Nội,HẠN CUỐI: 31/12/2023,"Thiết kế; Hành chính, Nhân sự",6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊN- Kinh nghiệm 2 năm trở lên trong lĩnh vực thiết kế nội - ngoại thất, các công trình khách sạn, resort.                                                                                                      - Ưu tiên tốt nghiệp Đại học chuyên ngành Thiết kế nội thất / Kiến trúc / Thiết kế.                        - Thành thạo tiếng Anh là một lợi thế.                                                                                   - Biết sử dụng các phần mềm đồ họa (Photoshop) và phần mềm thiết kế Kiến trúc (Auto Cad, 3Ds Max, …)                                                                                                           - Luôn cập nhật xu hướng, sáng tạo, có tư duy thẩm mỹ tốt về hình ảnh, đồ hoạ, kết cấu sản phẩm, hiểu biết về quảng cáo, nhận dạng thương hiệu, sản phẩm.                                                     - Có khả năng làm việc độc lập, chủ động, chịu được áp lực, đàm phán.                                         - Kỹ năng quản lý và sắp xếp thời gian để đáp ứng tiến độ.",https://ybox.vn/tuyen-dung/hn-cong-ty-ziva-asia-tuyen-dung-nhan-vien-thiet-ke-noi-that-full-time-2023-65816dbfcfa93911dc20227e
thực tập sinh marketing ecommerce full-time 2023,công ty tư vấn modoho ,Thỏa thuận,Hồ Chí Minh,DEADLINE: 1/1/2024,"Marketing, Truyền Thông, PR",0,Thực tập; Toàn thời gian,"REQUIREMENTSHaving English skills is an advantageCreative and meticulousFast Learning, Openness, Integrity.Good Critical thinking and Problem solvingWilling to work in a fast-paced, Tech savvy environment",https://ybox.vn/tuyen-dung/hcm-cong-ty-tu-van-modoho-tuyen-dung-thuc-tap-sinh-marketing-ecommerce-full-time-2023-6582de4871bc950ac7fcfba9
nhân viên thiết kế đồ hoạ full-time 2023,công ty đầu tư và dịch vụ công nghệ sconnect ,Từ 10 Triệu - Dưới 15 Triệu VNĐ / Tháng; Từ 8 Triệu - Dưới 10 Triệu VNĐ / Tháng,Hà Nội,HẠN CUỐI: 28/12/2023,Thiết kế,6 tháng,Toàn thời gian,"YÊU CẦU ỨNG VIÊNBằng cấp: Tốt nghiệp Cao đẳng hoặc Đại học trở lên các ngành Mỹ thuật/Thiết kế đồ họaKiến thức:  Có tư duy về thương hiệuCó tư duy về thiết kế, in ấnCó tư duy trải nghiệm khách hàngKinh nghiệm: 1 năm - 2 nămKỹ năng:Kỹ năng thiết kế logo thương hiệuCó kiến thức về phối màu, hình ảnh, bố cụcCảm thụ màu sắc và tư duy về bố cục tốtCó khả năng tư duy sáng tạo, phân tích nội dung thiết kế, chuyển tải ý tưởng, thông điệp bằng hình ảnh (hình ảnh hóa; trực quan hóa thông tin) Có khả năng sử dụng các phần mềm thiết kế Photoshop, Illustrator, Corel…thành thạoSử dụng thành thạo các công cụ thiết kế Adobe Illustrator, Photoshop, PremiereKỹ năng quản lý thời gian, làm việc cá nhân và làm việc nhóm tốtKhả năng sáng tạo ý tưởng và triển khaiPhẩm chất, thái độ:Sẵn sàng làmChủ động phối hợpTự tin với chuyên mônĐam mê với nghề thiết kếLắng nghe và thân thiện",https://ybox.vn/tuyen-dung/hn-cong-ty-dau-tu-va-dich-vu-cong-nghe-sconnect-tuyen-dung-nhan-vien-thiet-ke-do-hoa-full-time-2023-6582c2c991fea304ed1a52ad
