Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
"Video Editor (Nhân Viên Chụp, Quay, Dựng)",Công Ty Cổ Phần Hot Kids Việt Nam,Không yêu cầu bằng cấp,9 - 15 triệu,TP.HCM,18/12/2023,Chuyên viên- nhân viên,Thiết kế - Sáng tạo nghệ thuật/Truyền hình - Báo chí - Biên tập/Marketing,1 năm,Toàn thời gian cố định,1,"Ưu tiên người có kinh nghiệm làm việc ở vị trí Cameraman và Video Editor hoặc tương tự từ 1 năm trở lên.Thành thạo các phần mềm thiết kế như Photoshop, Illustrator, Adobe Premier, Affter EffectCó khả năng tư duy, logic về hình ảnh, có kỹ năng lấy góc máy, ánh sáng, bố cục tốt là một lợi thế.Có kiến thức về kỹ thuật hình ảnh, ánh sáng.",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/video-editor-nhan-vien-chup-quay-dung-c3p122id200293439.
Nhân Viên Ý Tưởng Thiết Kế Sáng Tạo,Công Ty TNHH Thương Mại TLC Việt Nam,Cao đẳng,9 - 13 triệu,TP.HCM,18/12/2023,Chuyên viên- nhân viên,Thiết kế - Sáng tạo nghệ thuật/Marketing/Thông tin - Truyền thông - Quảng cáo,2 năm,Toàn thời gian cố định,1,"- Tốt nghiệp Cao đẳng trở lên các chuyên ngành: Quản trí Kinh doanh/ Marketing/ Ngoại thương/ Thương mại/ Báo chí …- Độ tuổi: Từ 25 đến 35 tuổi- Giới tính: Không yêu cầu.- Sử dụng thành thạo các phần mềm phục vụ công việc như:+ AI, PTS…+ Các phần mềm chỉnh sửa và dựng video, …- Chịu được áp lực công việc cao.- Tư duy tốt, siêng năng, chịu khó, có tinh thần trách nhiệm cao, chịu học hỏi.- Có khả năng làm việc độc lập, làm việc nhóm, …",https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/nhan-vien-y-tuong-thiet-ke-sang-tao-c3p122id200293427.
Nhân Viên Marketing,Công Ty TNHH Sản Xuất Và Thương Mại Palado Việt Nam,Đại học,8 - 25 triệu,Bắc Ninh,18/12/2023,Chuyên viên- nhân viên,Marketing,1 năm,Toàn thời gian cố định,5,"- Nam/Nữ Từ 23 – 35 tuổi, có đam mê và nhiệt huyết kinh doanh- Có gu thẩm mỹ tốt, thích cái đẹp- Tốt nghiệp Cao đẳng trở lên các chuyên ngành Marketing, Truyền thông, Quản trị kinh doanh, công nghệ thông…, có kiến thức về Marketing…- Ưu tiên ứng viên có kinh nghiệm làm việc ở vị trí Marketing online hoặc các vị trí tương đương- Có kinh nghiệm chạy các chiến dịch Marketing trên các nền tảng mạng xã hội- Có kinh nghiệm trên quản lý fanpage, sán thương mại điện tử (tiktok, lazada, shopee...), kinh nghiệm viết content chạy ads, biết phân tích insight- Cầu tiến, ham học hỏi, trung thực, trách nhiệm và chịu khó",https://vieclam24h.vn/marketing/nhan-vien-marketing-c12p90id200293350.
Thực Tập Sales Marketing,Tổng Công Ty Cảng Hàng Không Việt Nam - Ctcp,Trung cấp,5 - 9 triệu,Hà Nội,18/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Xuất Nhập Khẩu,Chưa có kinh nghiệm,Toàn thời gian tạm thời,30,"Nam nữ là sinh viên các trường TC, CĐ , ĐH chuyên ngành kinh tế, ngoại giao marketing, LogisticsHam học hỏi, đam mê kinh doanh cầu tiến luôn luôn phấn đấu để kiếm tiềnCó hồ sơ đăng ký thực tập hợp lệ .",https://vieclam24h.vn/marketing/thuc-tap-sales-marketing-c12p73id200293329.
Nhân Viên Tư Vấn Tuyển Sinh (Long An),Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,Cao đẳng,7 - 12 triệu,Long An,17/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Giáo dục - Đào tạo/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"-Có thể làm việc xoay ca linh hoạt (Toàn thời gian 44h/tuần, có ca tối và cuối tuần).-Ứng viên có kinh nghiệm tư vấn sẽ là một lợi thế.-Thái độ hòa nhã, tinh thần dịch vụ khách hàng cao, tư duy tích cực, hứng thú với công việc có chỉ tiêu, thách thức.-Khả năng nắm bắt tâm lý, thuyết phục khách hàng tốt.-Giọng nói chuẩn, rõ ràng.-Có thể làm việc với áp lực, làm việc theo đội nhóm và độc lập.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-tuyen-sinh-long-an-c13p123id200293332.
Nhân Viên Tư Vấn Tuyển Sinh (Long Thành - Đồng Nai),Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,Cao đẳng,7 - 12 triệu,Đồng Nai,17/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Giáo dục - Đào tạo/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"-Có thể làm việc xoay ca linh hoạt (Toàn thời gian 44h/tuần, có ca tối và cuối tuần).-Ứng viên có kinh nghiệm tư vấn sẽ là một lợi thế.-Thái độ hòa nhã, tinh thần dịch vụ khách hàng cao, tư duy tích cực, hứng thú với công việc có chỉ tiêu, thách thức.-Khả năng nắm bắt tâm lý, thuyết phục khách hàng tốt.-Giọng nói chuẩn, rõ ràng.-Có thể làm việc với áp lực, làm việc theo đội nhóm và độc lập.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-tuyen-sinh-long-thanh-dong-nai-c13p120id200293331.
Nhân Viên Tư Vấn Tuyển Sinh (Bến Cát - Bình Dương),Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,Cao đẳng,7 - 12 triệu,Bình Dương,17/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Giáo dục - Đào tạo/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"-Có thể làm việc xoay ca linh hoạt (Toàn thời gian 44h/tuần, có ca tối và cuối tuần).-Ứng viên có kinh nghiệm tư vấn sẽ là một lợi thế.-Thái độ hòa nhã, tinh thần dịch vụ khách hàng cao, tư duy tích cực, hứng thú với công việc có chỉ tiêu, thách thức.-Khả năng nắm bắt tâm lý, thuyết phục khách hàng tốt.-Giọng nói chuẩn, rõ ràng.-Có thể làm việc với áp lực, làm việc theo đội nhóm và độc lập.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tu-van-tuyen-sinh-ben-cat-binh-duong-c13p119id200293330.
Nhân Viên Live Stream Parttime,Công Ty Cổ Phần Sản Xuất Thương Mại Và Dịch Vụ Bbt Việt Nam,Không yêu cầu bằng cấp,7 - 15 triệu,Hà Nội,16/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Nghề nghiệp khác,Dưới 1 năm,Bán thời gian cố định,2,"Nhanh nhẹn, có khả năng giao tiếp tốt, tự tin nói trước cameraLàm thường xuyên theo ca live stream 20-22hƯu tiên nam",https://vieclam24h.vn/marketing/nhan-vien-live-stream-parttime-c12p73id200293314.
Chuyên Viên Biên Tập Và Truyền Thông Thương Hiệu,Công Ty TNHH Gattner Việt Nam,Trung cấp,12 - 15 triệu,Hà Nội,16/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Thiết kế - Sáng tạo nghệ thuật,3 năm,Khác,1,"Giới tính: Nữ, Độ tuổi: trên 25Bằng cấp: Tốt nghiệp đại học chuyên ngành Marketing, Quản trị thương hiệu, Báo chí & Truyền hìnhKinh nghiệm: tối thiểu 3 năm ở vị trí tương đươngThành thạo kỹ năng vi tínhCó kiến thức nền tảng phát triển thương hiệu cho các thương hiệu lớn.Sử dụng thành thạo các công cụ quản trị thương hiệu.Có quan hệ thân thiết với các cơ quan báo chíCẩn thận, Trung thực, nhiệt tình, có trách nhiệm với công việc. Giao tiếp và đàm phán tốt.Tác phong chuyên nghiệp, có khả năng gây ấn tượng trước công chúng, xây dựng và thực hiện thuyết trình",https://vieclam24h.vn/marketing/chuyen-vien-bien-tap-va-truyen-thong-thuong-hieu-c12p73id200293232.
Nhân Viên Social Media,Chi Nhánh 2 Công Ty TNHH MTV Mơ Home,Cao đẳng,8 - 15 triệu,Đồng Nai,15/12/2023,Chuyên viên- nhân viên,Marketing/Thiết kế - Sáng tạo nghệ thuật,2 năm,Toàn thời gian cố định,1,"Tốt nghiệp chuyên ngành Marketing, Báo chí/Truyền thông hoặc các chuyên ngành liên quan khác.Sử dụng thành thạo tin học văn phòng. Khả năng sáng tạo, tư duy thẩm mỹ và lên ý tưởng tốt.Có khả năng khai thác Internet và cập nhật xu hướng thị trường. Có kỹ năng quản lý, lập kế hoạch, tổ chức, triền khai và theo dõi thực hiện các chiến dịch truyền thông.Kỹ năng làm việc nhóm tốt, chịu được áp lực công việc cao.",https://vieclam24h.vn/marketing/nhan-vien-social-media-c12p120id200283693.
