Tên công việc,Công ty,Bằng cấp,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kinh nghiệm,Hình thức,Số lượng,Yêu cầu,Link
Nhân Viên Chỉnh Sửa Video Và Thiết Kế Hình Ảnh,Công Ty Cổ Phần Lai Phú,Cao đẳng,10 - 15 triệu,TP.HCM,21/12/2023,Chuyên viên- nhân viên,Marketing/Thiết kế - Sáng tạo nghệ thuật/Thông tin - Truyền thông - Quảng cáo,1 năm,Toàn thời gian cố định,3,"- Trình độ chuyên môn: Tốt nghiệp Đại học/Cao đẳng, ưu tiên chuyên ngành: Thiết kế đồ họa, Truyền thông.- Thành thạo các phần mềm edit video như Capcut, After Effect, Premiere …, các chuẩn export file.- Sử dụng cơ bản các phần mềm thiết kế đồ họa như: Photoshop, AI,…- Có khiếu thẩm mỹ, khả năng cảm thụ âm thanh và hình ảnh tốt, tư duy thiết kế và khả năng sáng tạo.",https://vieclam24h.vn/marketing/nhan-vien-chinh-sua-video-va-thiet-ke-hinh-anh-c12p122id200293783.
Nhân Viên Digital Marketing - Tại Cần Thơ (Đi Làm Ngay),Công Ty Cổ Phần Đại Việt Hương,Đại học,8 - 10 triệu,Cần Thơ,18/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"- Tốt nghiệp Đại học chuyên ngành Marketing và các ngành liên quan Marketing.Ứng viên Chưa có kinh nghiệm sẽ được Công ty hướng dẫn và đào tạo.- Thành thạo các phần mềm văn phòng.- Có khả năng làm việc độc lập và theo nhóm.- Trung thực, chăm chỉ, chịu được áp lực công việc.- Hiểu việc và nắm bắt công việc nhanh.",https://vieclam24h.vn/marketing/nhan-vien-digital-marketing-tai-can-tho-di-lam-ngay-c12p131id200293533.
Key Account Management,Công Ty Cổ Phần Hasaki Beauty & Clinic,Đại học,15 - 30 triệu,TP.HCM,15/12/2023,Quản lý cấp trung,IT Phần mềm/Marketing/Thiết kế - Sáng tạo nghệ thuật,1 năm,Toàn thời gian cố định,2,"-         Tốt nghiệp Đại học trở lên chuyên ngành liên quan (quản trị, marketing, sales, ecomerce…)-         Có ít nhất 01 năm kinh nghiệm ở vị trí tương đương ở các nhãn hàng, ưu tiên ứng viên có kinh nghiệm ở các nhãn hàng làm đẹp/hàng tiêu dùng-         Tư duy logic, rõ ràng-         Khả năng định hướng, ra quyết định-         Kỹ năng phân tích và giải quyết vấn đề tốt.-         Kỹ năng thương lượng, giao tiếp tốt-         Có tính cam kết-         Liêm chính-         Chịu được áp lực cao",https://vieclam24h.vn/it-phan-mem/key-account-management-c8p122id200293052.
Lazada Platform Operation Executive (Nhân Viên Vận Hành Sàn Tmđt Lazada Biết Tiếng Hoa),Công Ty TNHH Công Nghệ Pandapon,Đại học,8 - 15 triệu,TP.HCM,15/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Biên phiên dịch,1 năm,Toàn thời gian cố định,10,"1. Tốt nghiệp đại học chuyên ngành trở lên, có một năm kinh nghiệm vận hành sàn TMĐT, nắm rõ các quy trình đăng bán sản phẩm trên sàn TMĐT.2. Thành thật, đáng tin cậy, có tính nhẫn nại trong công việc và đàm phán, giải quyết vấn đề khách quan minh bạch3. Thích nghi tốt với nhịp độ làm việc trong ngành TMĐT, khả năng trình bày tốt, làm việc chăm chỉ, tỉ mỉ và trách nhiệm.4. Yêu cầu ngoại ngữ: Tiếng Hoa",https://vieclam24h.vn/ban-hang-kinh-doanh/lazada-platform-operation-executive-nhan-vien-van-hanh-san-tmdt-lazada-biet-tieng-hoa-c13p122id200292939.
Nhân Viên Marketing - Tại HCM (Đi Làm Ngay),Công Ty Cổ Phần Bánh Givral,Cao đẳng,10 - 25 triệu,TP.HCM,12/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Thiết kế - Sáng tạo nghệ thuật,2 năm,Toàn thời gian cố định,2,"- Khả năng sáng tạo, tư duy logic, tư duy thẩm mỹ và lên ý tưởng tốt- Kỹ năng viết và trình bày ý tưởng vững chắc- Sử dụng thành thạo tin học văn phòng (Word, Excel, PowerPoint,…)- Kỹ năng làm việc nhóm tốt, chịu được áp lực công việc- Đáp ứng đúng tiến độ công việc.",https://vieclam24h.vn/marketing/nhan-vien-marketing-tai-hcm-di-lam-ngay-c12p122id200292045.
Nhân Viên Content Marketing - Đi Làm Ngay,Công Ty TNHH Sản Xuất Và Kinh Doanh Minh Khang,Cao đẳng,12 - 14 triệu,TP.HCM,12/12/2023,Chuyên viên- nhân viên,Marketing/Truyền hình - Báo chí - Biên tập/Thông tin - Truyền thông - Quảng cáo,1 năm,Toàn thời gian cố định,2,"Tốt nghiệp chuyên ngành liên quan như: Marketing, báo chí, truyền thông.Có kiến thức về mạng xã hội và kiến thức chung về Quản Lý Fanpage, Seeding là một lợi thế hoặc biết sử dụng photoshop, canva. Hiểu về các yếu tố ảnh hưởng đến thứ hạng website và các thuật toán công cụ tìm kiếmCó khả năng viết lách tốt, sáng tạoCó kinh nghiệm trên 01 nămChăm chỉ, sáng tạo, ham học hỏi, có khả năng chịu áp lực công việc cao.Các kỹ năng: khai thác chủ đề, lên ý tưởng, kịch bản chi tiết, đọc hiểu, phân loại và chọn lọc dữ liệu.Yêu cầu bạn nữ Độ tuổi: 22 - 30Số lượng: 2 bạn",https://vieclam24h.vn/marketing/nhan-vien-content-marketing-di-lam-ngay-c12p122id200292032.
Nhân Viên Truyền Thông,Công Ty TNHH Yến Sào Asiannest,Đại học,10 - 20 triệu,Bình Dương,12/12/2023,Chuyên viên- nhân viên,Marketing/IT Phần mềm/Truyền hình - Báo chí - Biên tập,1 năm,Toàn thời gian cố định,5,"- Nam/Nữ: 22- 35 tuổi- Kinh nghiệm >1 năm ở vị trí tương đương- Tốt nghiệp chuyên ngành: Marketing, truyền thông, báo chí, biên tập…- Nhanh nhẹn, có khả năng giao tiếp, và làm việc độc lập.",https://vieclam24h.vn/marketing/nhan-vien-truyen-thong-c12p119id200291481.
Marketing Event & Entertainment Executive,Clay Saigon - Công Ty TNHH Restaurant Hebe,Đại học,12 - 16 triệu,TP.HCM,08/12/2023,Chuyên viên- nhân viên,Marketing/Khách sạn - Nhà hàng - Du lịch,2 năm,Toàn thời gian cố định,2,● Proven experience in planning and executing successful marketing events.● Strong organizational and project management skills.● Excellent communication and interpersonal abilities.● Creative thinking and problem-solving skills.● Familiarity with hospitality industry trends is a plus. ,https://vieclam24h.vn/marketing/marketing-event-entertainment-executive-c12p122id200291072.
Trưởng Nhóm Marketing,Công Ty TNHH Hưng Lê Hl,Cao đẳng,15 - 30 triệu,TP.HCM,08/12/2023,Quản lý nhóm- giám sát,Marketing/Quản lý dự án,3 năm,Toàn thời gian cố định,1,"• Ứng viên phải có kinh nghiệm mạnh về Chạy Ads• Có kinh nghiệm tối thiểu 3 năm trong lĩnh vực Marketing.• Tốt nghiệp Đại học, cao đẳng chuyên ngành Marketing hoặc am hiểu và có kinh nghiệm về Marketing• Có kỹ năng quản lý nhóm, xây dựng truyền thông cho các sự kiện On/Offline của công ty.• Nắm rõ kiến thức về SEO, Facebook Ads, Google Ads.• Kỹ năng lên kế hoạch, trình bày.• Tỉ mỉ, cẩn thận, trung thực, tác phong làm việc kỷ luật, chuyên nghiệp.• Ưu tiên ứng viên có kinh nghiệm làm việc trong lĩnh vực mỹ phẩm.• Thành thạo kĩ năng giao tiếp và đàm phán; Tạo dựng và duy trì mối quan hệ; Quản lí thời gian và lên kế hoạch.",https://vieclam24h.vn/marketing/truong-nhom-marketing-c12p122id200290970.
Nhân Viên Nữ Marketing Làm Việc Quận 7,Công Ty TNHH Gobchange Dodoog,Cao đẳng,10 - 13 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Thực phẩm - Đồ uống,Dưới 1 năm,Toàn thời gian cố định,2,"- Chụp ảnh món ăn tốt- Có thể chỉnh sửa/thiết kế hình ảnh dùng để quảng bá (yêu cầu cơ bản)- Am hiểu về quảng cáo, nắm bắt tốt xu hướng- Nữ, độ tuổi dưới 27, tốt nghiệp chuyên ngành về Marketing/Truyền thông, trình độ cao đẳng trở lên.**Nếu tốt nghiệp Quản trị kinh doanh ứng viên vui lòng chứng minh kinh nghiệm làm việc đã có.- Thời gian làm việc: từ 10h – 17h (thứ 2,3,4,5,6,7)- Làm việc tại: Số 43-45 Cao Triều Phát, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",https://vieclam24h.vn/marketing/nhan-vien-nu-marketing-lam-viec-quan-7-c12p122id200287106.
Nhân Viên Digital Marketing,Công Ty TNHH Yến Sào Asiannest,Trung cấp,9 - 15 triệu,Bình Dương,12/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/IT Phần mềm,1 năm,Toàn thời gian cố định,3,"- Thành thạo vi tính văn phòng, Internet.- Tối thiểu 01 năm kinh nghiệm ở vị trí tương đương.- Am hiểu về SEO, Digital Marketing.- Biết về thiết kế, chỉnh sửa ảnh, video.",https://vieclam24h.vn/marketing/nhan-vien-digital-marketing-c12p119id200291488.
Chuyên Viên Kinh Doanh Ô Tô - Vinfast Miền Nam,Công Ty Cổ Phần Sản Xuất & Kinh Doanh Vinfast,Trung cấp,20 - 30 triệu,"TP.HCM,Long An,Đồng Tháp",21/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Cơ khí - Ô tô - Tự động hóa,1 năm,Toàn thời gian cố định,70,"Độ tuổi từ 22 đến 35Tốt nghiệp Trung cấp trở lênCó BLX ô tôƯu tiên có kinh nghiệm kinh doanh ô tô, xe máy, ngân hàng, bảo hiểm, bất động sản, điện máy, hàng công nghệ cao, hàng cao cấp, tài chính và các ngành nghề tương đương.Ngoại hình ưa nhìn, chiều cao: nam >1m65, nữ > 1m55.Kỹ năng giao tiếp tốt, kỹ năng thuyết phục, đàm phán tốt, có tư duy dịch vụ",https://vieclam24h.vn/marketing/chuyen-vien-kinh-doanh-o-to-vinfast-mien-nam-c12p122id200294226.
Chuyên Viên Kinh Doanh Ô Tô - Vinfast Miền Bắc,Công Ty Cổ Phần Sản Xuất & Kinh Doanh Vinfast,Trung cấp,20 - 30 triệu,"Hà Nội,Hòa Bình,Phú Thọ",21/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Cơ khí - Ô tô - Tự động hóa,1 năm,Toàn thời gian cố định,50,"Độ tuổi từ 22 đến 35Tốt nghiệp Trung cấp trở lênCó BLX ô tôƯu tiên có kinh nghiệm kinh doanh ô tô, xe máy, ngân hàng, bảo hiểm, bất động sản, điện máy, hàng công nghệ cao, hàng cao cấp, tài chính và các ngành nghề tương đương.Ngoại hình ưa nhìn, chiều cao: nam >1m65, nữ > 1m55.Kỹ năng giao tiếp tốt, kỹ năng thuyết phục, đàm phán tốt, có tư duy dịch vụ",https://vieclam24h.vn/marketing/chuyen-vien-kinh-doanh-o-to-vinfast-mien-bac-c12p73id200294245.
Nhân Viên Kinh Doanh (10 - 30 Triệu),Công Ty Cổ Phần Vitduct,Cao đẳng,10 - 30 triệu,Hà Nội,20/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Bán sỉ - Bán lẻ - Quản lý cửa hàng,2 năm,Toàn thời gian cố định,3,"• Ưu tiên Nữ, độ tuổi 25 - 28• Tốt nghiệp các trường kỹ thuật (Ưu tiên có kinh nghiệm về Maketing) Các trường Quản trị kinh doanh (Ưu tiên có hiểu biết về kỹ thuật).Đã có kinh nghiệm ít nhất 2 năm làm Sale trong lĩnh vực kỹ thuật hoặc các sản phẩm tương đương (Ưu tiên đã từng làm Sale trong lĩnh vực sản phẩm Công ty đang cung cấp như mục 1 là một lợi thế rất lớn);• Yêu thích công việc bán hàng, có mong muốn gắn bó lâu dài với công ty;• Kỹ năng giao tiếp tốt;• Có kỹ năng làm việc nhóm & làm việc độc lập;• Làm việc toàn thời gian từ thứ 2 đến thứ 7.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-10-30-trieu-c13p73id200285598.
Nhân Viên Kinh Doanh Thị Trường,Công Ty Cổ Phần Đầu Tư Active Việt Nam,Cao đẳng,10 - 15 triệu,Hà Nội,20/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Xây dựng/Marketing,Dưới 1 năm,Toàn thời gian cố định,5,"- Ưu tiên nam độ tuổi từ 25 đến 35 tuổi siêng năng, chịu khó di chuyển.- Giao tiếp tốt, nhanh nhẹn, hòa đồng- Có kinh nghiệm sale thị trường 6 tháng.- Ưu tiên có kinh nghiệm trong ngành vật tư, ngành cửa, keo silicone- Ưu tiên có kinh nghiệm thị trường, biết lái xe là 1 lợi thế- Không có kinh nghiệm sẽ được đào tạo hướng dẫn cầm tay chỉ việc.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thi-truong-c13p73id200285606.
Trưởng Phòng Kinh Doanh,Công Ty CP Thang Máy Và Thiết Bị Thành Công,Cao đẳng,20 - 30 triệu,Hà Nội,14/12/2023,Quản lý cấp trung,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing,2 năm,Toàn thời gian cố định,1,"- Giới tính NAM- Tốt nghiệp Cao đẳng / Đại học.- Độ tuổi từ 30-50, ưu tiên ứng viên gần công ty.- Thời gian thử việc: 2 tháng- Tối thiểu 2 năm kinh nghiệm trong lĩnh vực quản lý Kinh doanh.- Có khả năng Lãnh đạo đội ngũ, khả năng xử lý tình huống, giải quyết vấn đề và đưa ra quyết định nhanh chóng.- Kỹ năng giao tiếp và tương tác tốt với Đồng nghiệp và Khách hàng.- Quản lý thời gian hiệu quả trong việc để sắp xếp và xử lý công việc mang lại sự hài lòng cho Khách hàng.",https://vieclam24h.vn/ban-hang-kinh-doanh/truong-phong-kinh-doanh-c13p73id200292723.
Sales Leader / Trưởng Nhóm Kinh Doanh,Công Ty CP Cơ Khí Chính Xác Smart Việt Nam,Đại học,15 - 25 triệu,Hà Nội,13/12/2023,Quản lý nhóm- giám sát,Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng/Marketing,2 năm,Toàn thời gian cố định,1,"Có ít nhất 2 năm kinh nghiệm ở các vị trí Trưởng nhóm kinh doanhTốt nghiệp đại học các ngành cơ khí, kỹ thuật, kinh tế đối ngoại, kinh doanh quốc tế….Thành thạo tiếng anh (yêu cầu 4 kỹ năng )Ưu tiên các ứng viên có thể đọc, hiểu được bản vẽ kỹ thuật, CAD, có kiến thức về B2B, kinh doanh hàng hoá xuất khẩu.",https://vieclam24h.vn/ban-hang-kinh-doanh/sales-leader-truong-nhom-kinh-doanh-c13p73id200292364.
Nhân Viên Truyền Thông,Công Ty Cổ Phần Tập Đoàn Sông Hồng Thủ Đô,Cao đẳng,6 - 12 triệu,Vĩnh Phúc,12/12/2023,Chuyên viên- nhân viên,Marketing/Truyền hình - Báo chí - Biên tập/Thông tin - Truyền thông - Quảng cáo,Chưa có kinh nghiệm,Toàn thời gian cố định,2,"+ Nam, nữ Tốt nghiệp từ cao đẳng trở lên chuyên ngành báo trí, truyền thông hoặc các chuyên ngành liên quan.+ Có khả năng chụp ảnh và viết bài+ Ưu tiên ứng viên có kinh nghiệm tại vị trí tương đương. Không có kinh nghiệm sẽ được đào tạo",https://vieclam24h.vn/marketing/nhan-vien-truyen-thong-c12p89id200291841.
Nhân Viên Tiếp Thị Mô Hình Sendo Farm,Công Ty Cổ Phần Công Nghệ Sen Đỏ,Không yêu cầu bằng cấp,10 - 20 triệu,TP.HCM,11/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Chăm sóc khách hàng,Chưa có kinh nghiệm,Toàn thời gian cố định,50,"KHÔNG YÊU CẦU KINH NGHIỆMHiểu về địa bàn được phân công phụ tráchTrên 19 tuổi, yêu thích công việc bán hàng, giao tiếpCó kỹ năng sử dụng điện thoại thông minh và các ứng dụng mua hàng onlineSẵn sàng đi thị trường thường xuyên tại khu vực phụ trách",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-tiep-thi-mo-hinh-sendo-farm-c13p122id200291534.
Nhân Viên Kinh Doanh,Công Ty TNHH Công Nghiệp Kingtec Việt Nam,Đại học,10 - 15 triệu,Bình Dương,08/12/2023,Chuyên viên- nhân viên,Marketing/Thông tin - Truyền thông - Quảng cáo/Bán hàng - Kinh doanh,Chưa có kinh nghiệm,Toàn thời gian cố định,5,"- Nữ, tốt nghiệp đại học trở lên. Ưu tiên ứng viên tốt nghiệp chuyên ngành Marketing- Tiếng anh 4 kỹ năng (nghe, nói, đọc, viết) sử dụng tốt.- Kỹ năng giao tiếp tốt, hoạt bát, năng nổ, có khả năng làm việc nhóm, chịu được áp lực công việc.- Không yêu cầu kinh nghiệm, Có kinh nghiệm 1 năm làm việc ở lĩnh vực tương đương là một lợi thế",https://vieclam24h.vn/marketing/nhan-vien-kinh-doanh-c12p119id200282421.
Nhân Viên Quản Trị Sàn Thương Mại Điện Tử,Công Ty Cổ Phần Lai Phú,Cao đẳng,8 - 15 triệu,TP.HCM,21/12/2023,Chuyên viên- nhân viên,Marketing/Thực phẩm - Đồ uống/Chăm sóc khách hàng,2 năm,Toàn thời gian cố định,3,"Kinh nghiệm: Tối thiểu 2 năm ở vị trí tương đương hoặc vị trí liên quanKỹ năng Microsoft Office tốt, đặc biệt là ExcelYêu thích việc kinh doanh online và việc triển khai các chiến lược kinh doanh onlineCó Kiến thức về hệ thống sàn TMĐT tại Việt Nam (Lazada, Shopee, TikTok Shop,...)Có kiến thức và thành thạo trong việc vận hành sàn, đặc biệt là SEO từ khóaCó khả năng sử dụng tiếng Anh",https://vieclam24h.vn/marketing/nhan-vien-quan-tri-san-thuong-mai-dien-tu-c12p122id200293786.
"CR Senior Manager (Grobogan, Indonesia)",Công Ty TNHH Pungkook Sai Gon II,Đại học,Thoả thuận,Nước ngoài,21/12/2023,Quản lý cấp cao,Bán hàng - Kinh doanh/Marketing/Dệt may - Da giày - Thời trang,5 năm,Toàn thời gian cố định,2,"- Masters /Bachelor degree in Human Resources or Business Management or related fields- Good written, oral communication and presentation skills in English.- Experience in compliance systems management- 6+ years real experience on similar positions- Experience working with Microsoft Windows and Power point and knowledge of HRM systems- Comprehensive understanding on familiarity with Vietnamese policies, legal requirements and best practices.- Being able to Setup and Control team work",https://vieclam24h.vn/ban-hang-kinh-doanh/cr-senior-manager-grobogan-indonesia-c13p140id200287890.
"Nhân Viên Kinh Doanh Nguồn Hàng Trung Quốc Shopee, Lazada (Thu Nhập Tới 35 Triệu)",Nguồn Hàng Trung Quốc,Cao đẳng,8 - 35 triệu,Hà Nội,21/12/2023,Chuyên viên- nhân viên,Bán sỉ - Bán lẻ - Quản lý cửa hàng/Bán hàng - Kinh doanh/Marketing,Chưa có kinh nghiệm,Toàn thời gian cố định,8,"+ Sử dụng laptop cá nhân làm việc+ Có tinh thần cầu tiến, chăm chỉ, chủ động và có ý thức trách nhiệm trong công việc+ Có mong muốn làm việc kiếm mức thu nhập cao+ Không có kinh nghiệm sẽ được hướng dẫn nhiệt tình trong quá trình làm việc+ Không Yêu Cầu Tiếng Trung+ Độ tuổi từ 1994 đến 2002",https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-nguon-hang-trung-quoc-shopee-lazada-thu-nhap-toi-35-trieu-c6p73id200293492.
Nhân Viên Kinh Doanh – Thương Mại Quốc Tế,Công Ty TNHH Sản Xuất Thương Mại Dịch Vụ Khuôn Máy Việt,Cao đẳng,10 - 12 triệu,TP.HCM,17/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Biên phiên dịch,1 năm,Toàn thời gian cố định,2,"Thành thạo tiếng Anh giao tiếp1.     Sử dụng thành thạo vi tính văn phòng2.     Nhiệt tình trong công việc.3.     Kỹ năng giao tiếp, quản lý, tổ chức công việc.4.     Kỹ năng quản lý các mối quan hệ và sẵn sàng tiếp nhận các ý kiến phản hồi.5.     Tốt nghiệp Đại học, Cao đẳng chuyên ngành Ngoại ngữ, ngoại thương, Kinh tế, Quản trị kinh doanh, Marketing và các chuyên ngành liên quan.",https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thuong-mai-quoc-te-c13p122id200292585.
Trưởng Phòng Kinh Doanh - Quản Lý Kinh Doanh,Khách Hàng Của Vieclam24h,Cao đẳng,30 - 60 triệu,TP.HCM,14/12/2023,Quản lý cấp trung,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Marketing,4 năm,Toàn thời gian cố định,5,"- Ưu tiên ứng viên có thể công tác dài hạn nước ngoài - khu vực ĐNA- Tốt nghiệp Cao đẳng, Đại học chuyên ngành Quản trị kinh doanh hoặc các ngành liên quan- Từng có kinh nghiệm ở vị trí Nhân viên kinh doanh hoặc Giám đốc kinh doanh, có thành tích và thường xuyên đạt/vượt doanh số- Thành thạo kĩ năng giao tiếp, thuyết trình và tạo ảnh hưởng ở mọi mức độ tổ chức- Nhạy bén với các cơ hội kinh doanh, có kiến thức chuyên sâu về ngành và sản phẩm - Thành thạo tin học văn phòng ( Word, Excel..)",https://vieclam24h.vn/ban-hang-kinh-doanh/truong-phong-kinh-doanh-quan-ly-kinh-doanh-c13p122id200292763.
Giám Sát Bán Hàng Thu Nhập Đến 20Tr,Công Ty Cổ Phần Điện Tử Benny Việt Nam,Trung cấp,10 - 20 triệu,Hà Nội,08/12/2023,Quản lý nhóm- giám sát,Marketing/Xuất Nhập Khẩu/Bán hàng - Kinh doanh,Chưa có kinh nghiệm,Toàn thời gian cố định,4,"Ưu tiên ứng viên có kinh nghiệm kinh doanh trong lĩnh vực đồ điện gia dụngCó khả năng nắm bắt nhanhSử dụng thành thạo máy tính văn phòngChăm chỉ, kỷ luật, có thể đi công tácTốt nghiệp trung cấp trở lênTuổi từ 22-30 (Nam)",https://vieclam24h.vn/marketing/giam-sat-ban-hang-thu-nhap-den-20tr-c12p73id200287816.
Nhân Viên Social Media - Thu Nhập Trên 12 Triệu,Công Ty TNHH Bảo Vệ Thực Vật Thảo Điền,Cao đẳng,12 - 15 triệu,TP.HCM,06/12/2023,Chuyên viên- nhân viên,Marketing/Y tế - Chăm sóc sức khỏe/Thiết kế - Sáng tạo nghệ thuật,1 năm,Toàn thời gian cố định,1,"- Ưu tiên người có kinh nghiệm làm việc ở vị trí Social Media hoặc tương tự từ 1 năm trở lên.- Tốt nghiệp chuyên nghành về Marketing, Truyền thông, Báo chí.- Thành thạo các phần mềm thiết kế như Photoshop, Capcut.- Có khả năng tư duy, logic về hình ảnh, có kỹ năng lấy góc máy, ánh sáng, bố cục tốt- Có kiến thức về kỹ thuật hình ảnh, ánh sáng, am hiểu về các thiết bị quay phim- Nữ, độ tuổi từ 25 - 40 tuổi.",https://vieclam24h.vn/marketing/nhan-vien-social-media-thu-nhap-tren-12-trieu-c12p122id200290134.
Nhân Viên Kinh Doanh Bao Bì,CÔNG TY TNHH MMP CORPORATION (VIỆT NAM),Trung cấp,8 - 15 triệu,TP.HCM,28/11/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Sản xuất - Lắp ráp - Chế biến,1 năm,Toàn thời gian cố định,2,- Kinh nghiệm đi làm sales 1 năm- Ưu tiên ứng viên nữ- Ngoại ngữ: ưu tiên biết Tiếng Anh (Trình độ Trung bình – khá)- Experience in sales at least 1 year- Priority is given to female candidates- Foreign language: English (Average - good level),https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-bao-bi-c13p122id200286955.
Nhân Viên Quản Trị Sàn Thương Mại Điện Tử – Digital Marketing,Công Ty Trách Nhiệm Hữu Hạn Đầu Tư Sản Xuất An Trần,Cao đẳng,8 - 12 triệu,TP.HCM,21/12/2023,Chuyên viên- nhân viên,Marketing/Bán hàng - Kinh doanh/Bán sỉ - Bán lẻ - Quản lý cửa hàng,1 năm,Toàn thời gian cố định,3,"- Tốt nghiệp cao đẳng - đại học chuyên ngành Marketing, Quản trị kinh doanh hoặc các ngành liên quan- Có kinh nghiệm 1-2 năm quản trị website và Marketing Online.- Biết sử dụng photoshop, thiết kế đồ họa và dựng video clip là một lợi thế- Ưu tiên các ứng viên có kinh nghiệm Content Marketing.- Ưu tiên có kinh nghiệm trong mảng TMĐT, bán lẻ- Có khả năng bắt trend tốt, năng động và sáng tạo…- Yêu thích lĩnh vực kinh doanh",https://vieclam24h.vn/marketing/nhan-vien-quan-tri-san-thuong-mai-dien-tu-digital-marketing-c12p122id200291861.
Trợ Lý Phát Triển Kinh Doanh,Công Ty Cổ Phần Giấy CP,Đại học,12 - 14 triệu,TP.HCM,21/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Chăm sóc khách hàng/Marketing,2 năm,Toàn thời gian cố định,1,"1. Ưu tiên Nữ, độ tuổi từ 26-35 tuổi. Kinh nghiệm từ 2 - 3 tại vị trí tương đương2. Tốt nghiệp cao đẳng trở lên , chuyên ngành kinh tế, marketing, thương mại quốc tế hoặc các lĩnh vực liên quan.3. Tin học văn phòng thành thạo (word, excel, powerpoint)4. Anh văn giao tiếp, thành thạo cả 4 kỹ năng: nghe, nói, đọc, viết.5. Có khả năng giao tiếp, ngoại giao tốt, lắng nghe, đàm phán tốt và kỹ năng thuyết phục khách hàng.6. Nhanh nhẹn, nhạy bén, kỹ năng tra cứu và tìm kiếm thông tin nhanh.7. Chịu được áp lực tốt, có thể đi công tác khi cần.",https://vieclam24h.vn/ban-hang-kinh-doanh/tro-ly-phat-trien-kinh-doanh-c13p122id200289586.
Nhân Viên SEO Web Tại Hà Nội Lương 9-15 Triệu,"Wedo Architecture Construction (Wedo.,jsc)",Không yêu cầu bằng cấp,9 - 15 triệu,Hà Nội,21/12/2023,Chuyên viên- nhân viên,Marketing/IT Phần cứng - Mạng/IT Phần mềm,1 năm,Toàn thời gian cố định,2,"Kinh nghiệm làm SEO từ 1 năm trở lênCó kiến thức chuyên môn về SEO onpage & offpageThành thạo Google Analytics, Webmaster Tools (các công cụ chuyên sâu như Ahref, Majestic, Keywordtool, SEMRush … sẽ được đào tạo thêm)Có kiến thức về Google Ads là một lợi thế.Có kiến thức tốt về HTML, CSS là một lợi thế.Teamwork tốt, trách nhiệm cao trong công việc.Tỉ mỉ, chi tiết, có kỹ năng phân tích và tổng hợp.",https://vieclam24h.vn/marketing/nhan-vien-seo-web-tai-ha-noi-luong-9-15-trieu-c12p73id200294422.
Chuyên Viên Kinh Doanh,Công Ty TNHH Uni - President Việt Nam,Đại học,15 - 25 triệu,Bình Dương,21/12/2023,Chuyên viên- nhân viên,Bán hàng - Kinh doanh/Marketing/Biên phiên dịch,1 năm,Toàn thời gian cố định,6,"Tốt nghiệp từ Đại học trở lên ngành quản trị kinh doanh, Maketing, ngoại thương hoặc các ngành có liên quan.Ưu tiên ứng viên từng du học tại nước ngoài.Ngoại ngữ : Thông thạo Tiếng Anh hoặc Tiếng Trung.Ưu tiên ứng viên có kinh nghiệm trong lĩnh vực kinh doanh tiếp thị ngành lương thực, thực phẩm (bột mì, thức ăn thuỷ sản, thức ăn chăn nuôi).Ứng viên quan tâm vui lòng gửi CV Anh-Việt hoặc Trung-Việt.",https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-kinh-doanh-c13p119id200292755.
