Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Senior Marketing Manager,Global Mind Agriculture PTE. LTD.,Thương lượng,Hồ Chí Minh,06/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Marketing, Beverage Development, English Business Fluent, Leadership Organisationnel, Marketing Planning",https://www.vietnamworks.com/senior-marketing-manager--1722319-jv?source=searchResults&searchType=2&placement=1722319&sortBy=date
General Manager - Brand Head (Motorcycles),"CT - Wearnes CO., LTD",Thương lượng,Hồ Chí Minh,06/12/2023,Trưởng phòng,Khoa Học &amp; Kỹ Thuật,"English, After Sales Management, Automotive, Bike Technical, Motor Cycle Business",https://www.vietnamworks.com/general-manager-brand-head-motorcycles-1722448-jv?source=searchResults&searchType=2&placement=1722448&sortBy=date
Retail Merchandiser,Vietnamworks' Client,Thương lượng,Hồ Chí Minh,06/12/2023,Nhân viên,Dệt May/Da Giày,"Retail Buying, Fashion Retail, Softline Merchandiser, Retail Product, Brand Merchandise Management",https://www.vietnamworks.com/retail-merchandiser-3-1-1-1-1--1722308-jv?source=searchResults&searchType=2&placement=1722308&sortBy=date
Brand Manager,HEINEKEN Vietnam,Thương lượng,Hồ Chí Minh,05/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Branding, Brand Marketing, Brand Management, IMC Planning",https://www.vietnamworks.com/brand-manager--1722093-jv?source=searchResults&searchType=2&placement=1722093&sortBy=date
Assistant Brand Manager - Food,Marico South East Asia Corporation,Thương lượng,Hồ Chí Minh,08/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Brand Marketing, Brand Management, Branding Marketer, Brand Planning",https://www.vietnamworks.com/assistant-brand-manager-food--1723366-jv?source=searchResults&searchType=2&placement=1723366&sortBy=date
Sales Nhà Hàng,Tập Đoàn Đạt Phương (DP Group),$300 - $600,Quảng Nam,08/12/2023,Nhân viên,Kinh Doanh,"Tìm Kiếm Khách Hàng, Quản Lý Hình Ảnh Thương Hiệu, Lập Kế Hoạch Kinh Doanh, Marketing Sales, Truyền Thông",https://www.vietnamworks.com/sales-nha-hang--1723319-jv?source=searchResults&searchType=2&placement=1723319&sortBy=date
Assistant Brand Manager,Công Ty Cổ Phần Việt Tinh Anh,Thương lượng,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Brand Marketing, Marketing Strategy, Product Management, Advertising Campaigns, Digital Marketing",https://www.vietnamworks.com/assistant-brand-manager--1725777-jv?source=searchResults&searchType=2&placement=1725777&sortBy=date
Brand Manager (Quản Lý Thương Hiệu) Lương Cứng Từ 20-25 Triệu,Công Ty TNHH XNK Và Dịch Vụ TTC - Fra,$800 - $1000,Hà Nội,04/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Brand Marketing, Nghiên Cứu Thị Trường, Lập Kế Hoạch, Truyền Thông",https://www.vietnamworks.com/brand-manager-quan-ly-thuong-hieu-luong-cung-tu-20-25-trieu-1710169-jv?source=searchResults&searchType=2&placement=1710169&sortBy=date
Brand Manager (Grow) - 8 Months,Abbott,Thương lượng,Hồ Chí Minh,24/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, Brand Activation, Media Digital, Brand Management, Promotional Marketing",https://www.vietnamworks.com/brand-manager-grow-8-months-1718108-jv?source=searchResults&searchType=2&placement=1718108&sortBy=date
Marketing Manager - Fintech,Trusting Social,Thương lượng,Hồ Chí Minh,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Branding, Customer Segmentation, Marketing Research, Data Analyst",https://www.vietnamworks.com/marketing-manager-fintech--1718302-jv?source=searchResults&searchType=2&placement=1718302&sortBy=date
[Golf Sport/ Luxury Brand] Key Account ManagerUrgent job,"Emers Vietnam Co., Ltd",Thương lượng,Hà Nội,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Consumer Research, Brand Management, Business Development, Key Account Management",https://www.vietnamworks.com/golf-sport-luxury-brand-key-account-manager-2-1-1--1718207-jv?source=searchResults&searchType=2&placement=1718207&sortBy=date
Trợ Lý Nhãn Hàng (Mức Lương Trên 15 Triệu),Công Ty TNHH Dược Phẩm Hoa Linh,Thương lượng,Hà Nội,04/12/2023,Nhân viên,Y Tế/Chăm Sóc Sức Khoẻ,"Branding, Brand Marketing, Brand Management, Truyền Thông, Concept Design",https://www.vietnamworks.com/tro-ly-nhan-hang-muc-luong-tren-15-trieu-1721506-jv?source=searchResults&searchType=2&placement=1721506&sortBy=date
Brand Manager - Milk Powder,Công Ty Cổ Phần Vpmilk,$2000 - $2500,Hồ Chí Minh,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Branding Managing, Marketing Development, Milk, FMCG, Tiêu Dùng Nhanh",https://www.vietnamworks.com/brand-manager-milk-powder--1724699-jv?source=searchResults&searchType=2&placement=1724699&sortBy=date
Manager/ Head of Corporate Brand & Communication,Hoang An Nhien Group,Thương lượng,Hồ Chí Minh,30/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Employer Branding, Internal Communication, Internal Events",https://www.vietnamworks.com/manager-head-of-corporate-brand-communication--1720987-jv?source=searchResults&searchType=2&placement=1720987&sortBy=date
