Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
"Officer, Brand MKT",British University Vietnam (Buv),Thương lượng,Hưng Yên,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Communication Marketing, Social Media Marketing, Marketing Plans, Branding Campaign, Communication",https://www.vietnamworks.com/officer-brand-mkt-1-1--1720997-jv?source=searchResults&searchType=2&placement=1721047&sortBy=date
Chuyên Viên Marketing Dưới 1 Năm Kinh Nghiệm,Công Ty TNHH Cộng Cà Phê,$500 - $650,Hà Nội,20/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Channel, Media, Facebook Ads, Truyền Thông, Marketing Development",https://www.vietnamworks.com/chuyen-vien-marketing-duoi-1-nam-kinh-nghiem-1716460-jv?source=searchResults&searchType=2&placement=1716510&sortBy=date
Content LeaderUrgent job,Bumas - Thương Hiệu Tiện Ích Thông Minh Số 1 Việt Nam,$700 - $1000,Hà Nội,11/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Truyền Thông Tiếp Thị, Quản Lý, Content Leader",https://www.vietnamworks.com/content-leader--1723576-jv?source=searchResults&searchType=2&placement=1723626&sortBy=date
Brand Manager/ Group Brand Manager,Asiafoods Corporation,$1600 - $2000,Hồ Chí Minh,29/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","FMCG, Brand Marketing, Brand Management, Marketing Development",https://www.vietnamworks.com/brand-manager-group-brand-manager--1719689-jv?source=searchResults&searchType=2&placement=1719739&sortBy=date
Nhân Viên Quản Lý Trưng Bày (Visual Merchandising)Urgent job,Công Ty Cổ Phần Ultd Thịnh Phát,$500 - $700,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trưng Bày Hàng Hóa, Marketing Planning, Visual Merchandising, Truyền Thông Tiếp Thị",https://www.vietnamworks.com/nhan-vien-quan-ly-trung-bay-visual-merchandising-1719797-jv?source=searchResults&searchType=2&placement=1719847&sortBy=date
Brand MerchandiserUrgent job,Công Ty TNHH AQUA Retail Việt Nam,$530 - $750,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Merchandising, Supply Chain, Franchise Business, Retail, Branding",https://www.vietnamworks.com/brand-merchandiser-1708505-jv?source=searchResults&searchType=2&placement=1708555&sortBy=date
Chuyên Viên Marketing & PR,Công Ty TNHH The Only Three,$500 - $800,Hồ Chí Minh,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Online Marketing",https://www.vietnamworks.com/chuyen-vien-marketing-pr--1719649-jv?source=searchResults&searchType=2&placement=1719699&sortBy=date
Chuyên Viên Content Marketing (Lương Từ 10-13 Triệu + Thưởng Hiệu Quả Kinh Doanh)Urgent job,Công Ty TNHH Vixi Đơn Vị Thành Viên Thuộc Cộng Cà Phê,$500 - $650,Hà Nội,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Marketing 360 Process, Media",https://www.vietnamworks.com/chuyen-vien-content-marketing-luong-tu-10-13-trieu-thuong-hieu-qua-kinh-doanh-1719111-jv?source=searchResults&searchType=2&placement=1719161&sortBy=date
Trưởng Phòng Digital MarketingUrgent job,Bumas - Thương Hiệu Tiện Ích Thông Minh Số 1 Việt Nam,$1000 - $1500,Hà Nội,08/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông, Digital, Digital Marketing, Tiếp Thị, Marketing Quảng Cáo",https://www.vietnamworks.com/truong-phong-digital-marketing--1723282-jv?source=searchResults&searchType=2&placement=1723332&sortBy=date
Brand Manager (Fashion)Headhunt jobs,Navigos Search,$2000 - $2200,Hồ Chí Minh,01/12/2023,Trưởng phòng,Kinh Doanh,"English, Merchandise Management",https://www.vietnamworks.com/brand-manager-fashion-8-1721139-jv?source=searchResults&searchType=2&placement=1721189&sortBy=date
Trưởng Phòng Trade MarketingHeadhunt jobs,Khách Hàng Của Navigos Search,$1500 - $2000,Hà Nội,29/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Marketing Planning, Marketing Đại Lý, B2B",https://www.vietnamworks.com/truong-phong-trade-marketing--1719677-jv?source=searchResults&searchType=2&placement=1719727&sortBy=date
Group Brand ManagerHeadhunt jobs,Navigos Search,Thương lượng,Hồ Chí Minh,24/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông",Branding Marketer,https://www.vietnamworks.com/group-brand-manager-22-1718086-jv?source=searchResults&searchType=2&placement=1718136&sortBy=date
