Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Event Manager,Broward Vietnam,Thương lượng,Hồ Chí Minh,27/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Event, Event Management, Network Relationship, English, Event Operation",https://www.vietnamworks.com/event-manager--1718692-jv?source=searchResults&searchType=2&placement=1718942&sortBy=date
[Gấp] Chuyên Viên Truyền Thông Đối Ngoại,VietnamWorks' Client,Thương lượng,Hà Nội,07/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Truyền Thông Thương Hiệu, Phát Triển Thương Hiệu, Biên Tập Nội Dung, Tổ Chức Sự Kiện, Kế Hoạch Truyền Thông",https://www.vietnamworks.com/gap-chuyen-vien-truyen-thong-doi-ngoai--1722627-jv?source=searchResults&searchType=2&placement=1722877&sortBy=date
Product Development Manager/ Assistant Manager,"Mizuho Bank, Ltd. - HCMC Branch",Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Time Management Skill, Communication, Creative Marketing, Banking Solutions",https://www.vietnamworks.com/product-development-manager-assistant-manager-1--1722690-jv?source=searchResults&searchType=2&placement=1722940&sortBy=date
Product Develop ExecutiveUrgent job,Công Ty TNHH Sản Xuất Vinh Quang,Thương lượng,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Product Maketing, Phát Triển Sản Phẩm, Phát Triển Dự Án, Phát Triển Khách Hàng, Product Development",https://www.vietnamworks.com/product-develop-executive-1718846-jv?source=searchResults&searchType=2&placement=1719096&sortBy=date
Nhân Viên Kỹ Thuật Âm Thanh & Ánh Sáng Sự KiệnUrgent job,Công Ty TNHH Vstarschool,Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sự Kiện, Event, Quảng Cáo, Âm Thanh Điện Tử",https://www.vietnamworks.com/nhan-vien-ky-thuat-am-thanh-anh-sang-su-kien-1718535-jv?source=searchResults&searchType=2&placement=1718785&sortBy=date
Chuyên Viên Sự Kiện (Không Yêu Cầu Kinh Nghiệm),The Edu House,Thương lượng,Hồ Chí Minh,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sự Kiện, Anh Văn Giao Tiếp, Quản Lý",https://www.vietnamworks.com/chuyen-vien-su-kien-khong-yeu-cau-kinh-nghiem-1722822-jv?source=searchResults&searchType=2&placement=1723072&sortBy=date
Quản Lý Nhãn Hàng (Brand Manager),Công Ty Cổ Phần Dược Phẩm Medbolide,$1500 - $2500,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Lý Nhãn Hàng, Marketing Channel",https://www.vietnamworks.com/quan-ly-nhan-hang-brand-manager-31--1710900-jv?source=searchResults&searchType=2&placement=1711150&sortBy=date
Trưởng Nhóm Truyền Thông Thương Hiệu Tuyển Dụng,FPT Information System (Fis),Thương lượng,Hà Nội,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông",Employer Branding,https://www.vietnamworks.com/truong-nhom-truyen-thong-thuong-hieu-tuyen-dung--1718534-jv?source=searchResults&searchType=2&placement=1718784&sortBy=date
Marketing Executive Under 1 Year Experience,Công Ty Cổ Phần Inn Saigon,$500 - $1000,Hồ Chí Minh,07/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Truyền Thông, Quảng Cáo, Marketing Trực Tiếp, Marketing Social",https://www.vietnamworks.com/marketing-executive-under-1-year-experience-1722786-jv?source=searchResults&searchType=2&placement=1723036&sortBy=date
Trưởng Bộ Phận Phát Triển Chương Trình Bán Hàng - Kênh MT,Công Ty Cổ Phần Sữa Vitadairy Việt Nam,Thương lượng,Hồ Chí Minh,07/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, Sales Modern Trade",https://www.vietnamworks.com/truong-bo-phan-phat-trien-chuong-trinh-ban-hang-kenh-mt-1722653-jv?source=searchResults&searchType=2&placement=1722903&sortBy=date
Chuyên Viên Quản Lý Quan Hệ Khách Hàng (Relationship Manager)Urgent job,"Hưng Việt Consultant., JSC",$500 - $1000,Hà Nội,27/11/2023,Nhân viên,"<a property=""item"" typeof=""WebPage"" href=""https://www.vietnamworks.com/viec-lam?g=21"">Kinh Doanh","Tư Vấn Bán Hàng, Kinh Doanh B2B, Tìm Kiếm Khách Hàng, Tiếp Thị Tư Vấn Sản Phẩm, Nghiên Cứu Thị Trường",https://www.vietnamworks.com/chuyen-vien-quan-ly-quan-he-khach-hang-relationship-manager-1707321-jv?source=searchResults&searchType=2&placement=1707571&sortBy=date
Account Executive (Activation & Event),Buzz Communication,$400 - $550,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tổ Chức Sự Kiện, Event Account, Event Activation, Client Service Management, Event Operation",https://www.vietnamworks.com/account-executive-activation-event-1714968-jv?source=searchResults&searchType=2&placement=1715218&sortBy=date
Chuyên Viên Marketing (Lương Cứng Upto 18Tr),Chi Nhánh Công Ty Cổ Phần Giáo Dục Quốc Tế Victoria - Australia Tại Hà Nội,$650 - $720,Hà Nội,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, PPC",https://www.vietnamworks.com/chuyen-vien-marketing-luong-cung-upto-18tr-1714425-jv?source=searchResults&searchType=2&placement=1714675&sortBy=date
"[HN, HCM] Giám Đốc Marketing (Sàn Thương Mại Điện Tử B2B)",Công Ty Cổ Phần Đầu Tư Và Công Nghệ Vela,$3500 - $5000,Hồ Chí Minh,18/12/2023,Giám Đốc và Cấp Cao Hơn,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Strategy, Nghiên Cứu Thị Trường, Data Analyst, B2B Marketing, Quản Lý Ngân Sách",https://www.vietnamworks.com/hn-hcm-giam-doc-marketing-san-thuong-mai-dien-tu-b2b--1726047-jv?source=searchResults&searchType=2&placement=1726297&sortBy=date
Nhân Viên Marketing,Công Ty Cổ Phần Thép Nam Kim,$500 - $650,Đồng Nai,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Nghiên Cứu Thị Trường, Photoshop, Content Marketing, FMCG, Coreldraw",https://www.vietnamworks.com/nhan-vien-marketing--1713965-jv?source=searchResults&searchType=2&placement=1714215&sortBy=date
B2B Marketing Manager,Pmax - Total Performance Marketing Company,Thương lượng,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","B2B Marketing, Digital Marketing, Brand Planning",https://www.vietnamworks.com/b2b-marketing-manager--1726103-jv?source=searchResults&searchType=2&placement=1726353&sortBy=date
Content Marketing Intern (Full-Time),ODM Group,Thương lượng,Hồ Chí Minh,11/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Marketing, Social Media, Marketing Development, Marketing Planning",https://www.vietnamworks.com/content-marketing-intern-full-time-1723820-jv?source=searchResults&searchType=2&placement=1724070&sortBy=date
Chuyên Viên Digital Marketing - Upto 30 Triệu/tháng,Công Ty TNHH Bibabo,$600 - $1300,Hà Nội,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Tiktok Ads, Google Ads, Facebook Ads",https://www.vietnamworks.com/chuyen-vien-digital-marketing-upto-30-trieu-thang-1715778-jv?source=searchResults&searchType=2&placement=1716028&sortBy=date
Marketing Content Officer/specialist,IDP Education (Vietnam),Thương lượng,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Copy Writer, Content Marketing, Social Content Marketing, Content Editing, Content",https://www.vietnamworks.com/marketing-content-officer-specialist--1726080-jv?source=searchResults&searchType=2&placement=1726330&sortBy=date
Trưởng Nhóm Phát Triển Thị Trường Mảng TMĐT (Tiếng Trung),Công Ty Cổ Phần Tập Đoàn Kita Group,$750 - $1100,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tiếng Trung, Truyền Thông, Báo Chí, Thương Mại Điện Tử, Hàng Tiêu Dùng",https://www.vietnamworks.com/truong-nhom-phat-trien-thi-truong-mang-tmdt-tieng-trung-1726036-jv?source=searchResults&searchType=2&placement=1726286&sortBy=date
Marketing Intern,Iae GLOBAL Vietnam,Thương lượng,Hà Nội,18/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Content, Truyền Thông, Digital Marketing, Kế Hoạch Truyền Thông",https://www.vietnamworks.com/marketing-intern--1726009-jv?source=searchResults&searchType=2&placement=1726259&sortBy=date
[Kotra] Recruitment Announcement Marketing&sales (Marketing 2 Team),Kotra Hanoi,Thương lượng,Hà Nội,18/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Development, Truyền Thông, Telesale Marketing",https://www.vietnamworks.com/kotra-recruitment-announcement-marketing-sales-marketing-2-team--1726029-jv?source=searchResults&searchType=2&placement=1726279&sortBy=date
