Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Chuyên Viên Content Tại Hà Nội Lương Cứngtừ 10-15 Triệu,Công Ty TNHH XNK Và Dịch Vụ TTC - Fra,$400 - $800,Hà Nội,04/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, SEO, Social Media, Quảng Cáo, Xây Dựng Thương Hiệu",https://www.vietnamworks.com/chuyen-vien-content-tai-ha-noi-luong-cungtu-10-15-trieu-1711241-jv?source=searchResults&searchType=2&placement=1711241&sortBy=date
Tiktok Video Editor/ Content Creator,Công Ty TNHH GLOBAL Jet Commerce,$450 - $750,Hồ Chí Minh,15/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Video Editing, Quay Dựng Video, Biên Tập Video",https://www.vietnamworks.com/tiktok-video-editor-content-creator-1725486-jv?source=searchResults&searchType=2&placement=1725486&sortBy=date
Chuyên Viên Sáng Tạo Nội Dung (Content Creator),Công Ty Cổ Phần Thương Mại Calen,$700 - $1200,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Social Media Marketing, SEO, SEM, TVC Script",https://www.vietnamworks.com/chuyen-vien-sang-tao-noi-dung-content-creator--1720668-jv?source=searchResults&searchType=2&placement=1720668&sortBy=date
Nhân Viên Truyền ThôngUrgent job,Công Ty TNHH Thương Mại Quốc Tế Son Vi,Thương lượng,Hà Nội,23/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Xây Dựng Nội Dung, Triển Khai Ý Tưởng, Biên Tập Nội Dung, Truyền Thông PR",https://www.vietnamworks.com/nhan-vien-truyen-thong--1717609-jv?source=searchResults&searchType=2&placement=1717609&sortBy=date
Content Marketing Executive (Nữ - Dưới 1 Năm Kinh Nghiệm),Công Ty TNHH SXTM Mỹ Phẩm Minh Đức,$400 - $700,Hồ Chí Minh,14/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Social Media, Digital Marketing, Content Marketing, Cosmetic, Mỹ Phẩm",https://www.vietnamworks.com/content-marketing-executive-nu-duoi-1-nam-kinh-nghiem-1725157-jv?source=searchResults&searchType=2&placement=1725157&sortBy=date
Thực Tập Sinh Content SEO,Công Ty TNHH Truyền Thông Seodo,Thương lượng,Đà Nẵng,14/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content SEO, Thương Mại Điện Tử, Nghiên Cứu Khách Hàng, Thiết Kế Hình Ảnh, SEO",https://www.vietnamworks.com/thuc-tap-sinh-content-seo--1725004-jv?source=searchResults&searchType=2&placement=1725004&sortBy=date
Thực Tập Sinh SEO Website,Công Ty TNHH Truyền Thông Seodo,Thương lượng,Đà Nẵng,14/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content SEO, Nội Dung Website, Tối Ưu Hóa Thuế Phải Nộp, Xây Dựng Nội Dung, SEO Audit",https://www.vietnamworks.com/thuc-tap-sinh-seo-website--1725011-jv?source=searchResults&searchType=2&placement=1725011&sortBy=date
Zepeto Russia Regional SpecialistUrgent job,Snow Việt Nam,Thương lượng,Hồ Chí Minh,22/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Russian, Report Writing, Analyzing, Content, Research",https://www.vietnamworks.com/zepeto-russia-regional-specialist-1717264-jv?source=searchResults&searchType=2&placement=1717264&sortBy=date
Nhân Viên Content,Công Ty TNHH Đạt Phúc Nguyên,$500 - $600,Nghệ An,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Creating, Content Editing, Kỹ Năng Viết Kịch Bản Video, Content Marketing, Triển Khai Ý Tưởng",https://www.vietnamworks.com/nhan-vien-content--1724833-jv?source=searchResults&searchType=2&placement=1724833&sortBy=date
[$1100 - $1500] Copywriter Content LeadHeadhunt jobs,Navigos Search,$1100 - $1500,Hà Nội,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Media, Copywriting",https://www.vietnamworks.com/1100-1500-copywriter-content-lead-1724582-jv?source=searchResults&searchType=2&placement=1724582&sortBy=date
Marketing Specialist,Công Ty TNHH Hoshizaki Việt Nam,Từ $500,Hồ Chí Minh,22/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, SEO, Digital Marketing",https://www.vietnamworks.com/marketing-specialist--1717511-jv?source=searchResults&searchType=2&placement=1717511&sortBy=date
Thực Tập Sinh Marketing (Full time),Công Ty Cổ Phần Luklak,$50 - $100,Hà Nội,22/11/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Digital Marketing, Premiere, Online Marketing, Content Creating",https://www.vietnamworks.com/thuc-tap-sinh-marketing-full-time-1716787-jv?source=searchResults&searchType=2&placement=1716787&sortBy=date
Content Marketing,Công Ty Xây Dựng Và Phát Triển Nhà Kiến Xinh,Thương lượng,Hồ Chí Minh,22/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Truyền Thông, Digital, Marketing Campaign, Photoshop",https://www.vietnamworks.com/content-marketing--1717029-jv?source=searchResults&searchType=2&placement=1717079&sortBy=date
Content Marketing,Công Ty TNHH Xuất Nhập Khẩu Rutop Việt Nam,$300 - $500,Hồ Chí Minh,22/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Mỹ Phẩm, Truyền Thông, Xây Dựng Nội Dung, Quản Lý Fanpage",https://www.vietnamworks.com/content-marketing--1717277-jv?source=searchResults&searchType=2&placement=1717327&sortBy=date
Senior Communications & Marketing Officer/ Manager,Action On Poverty (Aop) In Vietnam,Tới $1500,Hà Nội,13/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Strategic Public Relations Planning, Data Management, CRM, Communication, Media",https://www.vietnamworks.com/senior-communications-marketing-officer-manager-1724471-jv?source=searchResults&searchType=2&placement=1724521&sortBy=date
Content Creator,Công Ty TNHH Truyền Thông ADT,Thương lượng,Hà Nội,21/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Sáng Tạo Nội Dung, SEO, Quản Lý Web, Tracking Performance",https://www.vietnamworks.com/content-creator--1716888-jv?source=searchResults&searchType=2&placement=1716938&sortBy=date
Chuyên Viên Sáng Tạo Nội Dung Tiktok,Công Ty Cổ Phần Vua Nệm,$500 - $700,Hà Nội,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content, Content Marketing, Biên Tập Nội Dung, Tiktok Ads, Creative Skill",https://www.vietnamworks.com/chuyen-vien-sang-tao-noi-dung-tiktok-1724318-jv?source=searchResults&searchType=2&placement=1724368&sortBy=date
Nhân Viên Quay Dựng - Video Editor,Weset English Center,Từ $450,Hồ Chí Minh,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Photoshop, After Effect, Adobe Premiere, Videos Editor",https://www.vietnamworks.com/nhan-vien-quay-dung-video-editor--1719425-jv?source=searchResults&searchType=2&placement=1719475&sortBy=date
Content Social,Công Ty Cổ Phần Thương Mại Dịch Vụ Chăm Sóc Sức Khỏe Và Sắc Đẹp Hera,$400 - $830,Hồ Chí Minh,12/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Content, Digital Marketing, Truyền Thông, Tư Duy Sáng Tạo",https://www.vietnamworks.com/content-social--1724284-jv?source=searchResults&searchType=2&placement=1724334&sortBy=date
Communications Executive,British Vietnamese International School Hanoi,Thương lượng,Hà Nội,02/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Communication Marketing, Truyền Thông, Digital Marketing, Branding, Communication",https://www.vietnamworks.com/communications-executive--1721369-jv?source=searchResults&searchType=2&placement=1721419&sortBy=date
Media Performance Specialist,Công Ty TNHH Vsita Media,Thương lượng,Hồ Chí Minh,21/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Performance Marketing, Digital Marketing, Advertsing Agency, Social Media Ads, Ads",https://www.vietnamworks.com/media-performance-specialist-1716660-jv?source=searchResults&searchType=2&placement=1716710&sortBy=date
Senior Content Creation/social Media SpecialistUrgent job,Turnkey Fba Limited Company,$500 - $1500,Hà Nội,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Creating, Content Strategy, Digital Marketing, Thương Mại Online, Media",https://www.vietnamworks.com/senior-content-creation-social-media-specialist-1720904-jv?source=searchResults&searchType=2&placement=1720954&sortBy=date
Content Marketing,Công Ty Cổ Phần Truyền Thông Sunrise,Thương lượng,Hà Nội,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quản Lý Fanpage, Content Fanpage, Tổ Chức Sự Kiện, Sáng Tạo Nội Dung, Nghiên Cứu Thị Trường",https://www.vietnamworks.com/content-marketing-325-1-1--1721168-jv?source=searchResults&searchType=2&placement=1721218&sortBy=date
Chuyên Viên Content Marketing (Lĩnh Vực Mỹ Phẩm)Urgent job,Công Ty TNHH Taehui,Thương lượng,Hà Nội,01/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Sáng Tạo Nội Dung, Viết PR, Content SEO, SEO Writing, Viết Kịch Bản Quảng Cáo",https://www.vietnamworks.com/chuyen-vien-content-marketing-linh-vuc-my-pham--1721181-jv?source=searchResults&searchType=2&placement=1721231&sortBy=date
Content Marketing,DRH Clinic,$400 - $800,Hồ Chí Minh,11/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Content, Social Media, Quảng Cáo, Báo Chí",https://www.vietnamworks.com/content-marketing--1723807-jv?source=searchResults&searchType=2&placement=1723857&sortBy=date
Social Media Specialist,Công Ty TNHH Một Thành Viên Soul Retreats,Thương lượng,Hồ Chí Minh,20/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Content Marketing, Quay Video, Content Creating, Email Marketing",https://www.vietnamworks.com/social-media-specialist--1716395-jv?source=searchResults&searchType=2&placement=1716445&sortBy=date
SEO LeaderUrgent job,Like A Dream,$700 - $1300,Hồ Chí Minh,30/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO Website, Seo Marketing",https://www.vietnamworks.com/seo-leader--1720790-jv?source=searchResults&searchType=2&placement=1720840&sortBy=date
Creative Content Executive (6 Mths contract),ILA Vietnam,Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Creating, Content, Content Marketing, Digital Content Marketing, Copywriting",https://www.vietnamworks.com/creative-content-executive-6-mths-contract-1719721-jv?source=searchResults&searchType=2&placement=1719771&sortBy=date
SEO SeniorUrgent job,Like A Dream,$500 - $700,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO Website, Seo Marketing, SEO Audit, SEO",https://www.vietnamworks.com/seo-senior--1720797-jv?source=searchResults&searchType=2&placement=1720847&sortBy=date
Trưởng Nhóm Content (Thu Nhập 15-20 Triệu)Urgent job,Công Ty Cổ Phần Kiến Trúc Nội Thất Elkay,$650 - $900,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Content Marketing, Truyền Thông, Digital Marketing",https://www.vietnamworks.com/truong-nhom-content-thu-nhap-15-20-trieu-1720298-jv?source=searchResults&searchType=2&placement=1720348&sortBy=date
Nhân Viên Phụ Trách Thương Mại Điện TửUrgent job,Công Ty Cổ Phần Nội Dung Thể Thao Việt (Vietcontent Sports),Thương lượng,Hà Nội,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","E Commerce, Quản Lý Bán Hàng, Thương Mại Điện Tử, Sàn Thương Mại Điện Tử, Phát Triển Thương Mại Điện Tử",https://www.vietnamworks.com/nhan-vien-phu-trach-thuong-mai-dien-tu--1720270-jv?source=searchResults&searchType=2&placement=1720320&sortBy=date
Thực Tập Sinh Content Creator (Chuyên Quay Dựng Video) Lương 3 Triệu + Thưởng,Công Ty Cổ Phần Beacon,$500 - $1200,Hồ Chí Minh,30/11/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","Youtube, Biên Tập Video, Social Media, Content, SEO",https://www.vietnamworks.com/thuc-tap-sinh-content-creator-chuyen-quay-dung-video-luong-3-trieu-thuong-1720896-jv?source=searchResults&searchType=2&placement=1720946&sortBy=date
